,Transect_&_Elevation,Average_Humidity,Average_Light_intensity,Average_Temperature,Average_Wind_speed,Average_Cloud_cover,Visibility_Percentage,Habitat_type,Species_richness,Abundance,Extracted_Transect_Elevation,Transect_Elevation
1,T1 - 480m,99,0.277,26.4,0,100,23.81,4,6,22,480m,480
2,T2 - 580m,92,0.78,24.6,0,5,100,3,9,14,580m,580
3,T3 - 780m,94,0.508,24.8,0,5,100,5,8,8,780m,780
4,T3 - 780m,94,0.5,24.8,0,100,66.67,5,2,6,780m,780
5,T3 - 780m,94,0.5,23,0,100,66.67,5,5,5,780m,780
6,T3 - 780m,94,0.5,22,0,100,66.67,5,1,1,780m,780
7,T5 - 870m,99,7.59,23.9,0,100,66.67,3,5,6,870m,870
8,T6 - 1250m,99,13.05,25.9,0.45,100,100,3,4,4,1250m,1250
9,T7 - 1250m,93,6.64,26,0,100,100,2,7,13,1250m,1250
10,T7 - 1250m,59,39.5,31.13,2.1,100,100,2,4,9,1250m,1250
11,T7 - 1250m,80,6.56,23.9,0,100,95.24,2,0,0,1250m,1250
12,T8 - 1250m,79,15.5,28.3,0,100,100,3,3,3,1250m,1250
13,T8 - 1250m,79,4.87,25.2,0,100,71.43,3,0,0,1250m,1250
14,T9 - 1360m,86,19.5,27.4,2.9,100,71.43,1,3,5,1360m,1360
15,T10 - 1420m,79,0.57,24.8,0,100,100,6,3,4, 1420m,1420
16,T10 - 1420m,96,15.05,30.2,0,100,66.67,6,2,6, 1420m,1420
17,T10 - 1420m,57,153.2,30.2,0.4,100,71.43,6,2,3, 1420m,1420
18,T1 - 480m,98,7.54,25.8,0,100,NA,4,5,7,480m,480
19,T1 - 480m,99,6.06,25.35,0,100,95.24,4,9,9,480m,480
20,T2 - 580m,98,0.77,22.6,0,100,71.43,3,8,14,580m,580
21,T2 - 580m,82,0.198,24.3,0,20,47.62,3,9,12,580m,580
22,T3 - 780m,98,3.69,22.35,0,0,100,5,3,7,780m,780
23,T3 - 780m,98,3.69,22.35,0,0,100,5,13,14,780m,780
24,T3 - 780m,90,0.035,24.2,0,20,100,5,1,1,780m,780
25,T3 - 780m,61,0.094,25.5,0,15,71.43,5,6,8,780m,780
26,T3 - 780m,65,0.035,25.7,0,100,100,5,3,3,780m,780
27,T4 - 780m,85,3.81,25,0,78.33,100,5,3,3,780m,780
28,T4 - 780m,61,4.78,28.7,0,100,66.67,5,0,0,780m,780
29,T4 - 780m,47,0.744,29.9,0,2,95.24,5,2,2,780m,780
30,T4 - 780m,50,0.7,26.3,0,100,47.62,5,2,5,780m,780
31,T5 - 870m,85,13.84,26.7,0,100,95.24,3,4,6,870m,870
32,T5 - 870m,55,55.3,30.2,0,100,95.24,3,0,0,870m,870
33,T5 - 870m,51,26.78,30.7,0,23.33,100,3,2,2,870m,870
34,T6 - 1250m,90,8.44,27.4,0.8,100,100,3,12,17,1250m,1250
35,T6 - 1250m,58,30.1,29.1,0,98.75,100,3,2,2,1250m,1250
36,T7 - 1250m,77,1.79,23.98,0.83,100,76.19,2,3,3,1250m,1250
37,T7 - 1250m,78,20.35,22.55,0,38.33,100,2,6,14,1250m,1250
38,T7 - 1250m,98,3.05,21.7,0.9,100,100,2,1,1,1250m,1250
39,T7 - 1250m,77,12.54,25.3,1,100,100,2,1,5,1250m,1250
40,T8 - 1250m,95,10.69,22.8,1.2,100,100,3,4,7,1250m,1250
41,T8 - 1250m,95,5.99,25.7,0,100,100,3,5,7,1250m,1250
42,T8 - 1250m,98,3.61,23,0,100,76.19,3,0,0,1250m,1250
43,T8 - 1250m,80,6.89,24.3,0.87,100,100,3,2,2,1250m,1250
44,T9 - 1360m,80,14.7,24.13,2.1,100,100,1,3,11,1360m,1360
45,T9 - 1360m,99,12.46,22.9,0,100,95.24,1,4,5,1360m,1360
46,T9 - 1360m,99,8.28,24.2,0,100,76.19,1,0,0,1360m,1360
47,T9 - 1360m,99,7.19,23.4,1.5,100,76.19,1,0,0,1360m,1360
48,T10 - 1420m,95,1.44,25.1,0,100,76.19,6,2,7, 1420m,1420
49,T10 - 1420m,99,0.54,21.9,0,100,76.19,6,3,3, 1420m,1420
50,T10 - 1420m,99,0.63,25.1,0,100,95.24,6,3,8, 1420m,1420
51,T10 - 1420m,99,1.67,25.2,0,100,14.29,6,3,4, 1420m,1420
52,T1 - 480m,96,1.14,26.4,0,22,71.42,4,4,7,480m,480
53,T1 - 480m,99,8.51,26.5,0,36.66,95.24,4,9,9,480m,480
54,T1 - 480m,99,8.52,26.5,0,100,95.24,4,5,6,480m,480
55,T2 - 580m,99,6.93,23.5,0,98,95.24,3,7,7,580m,580
56,T2 - 580m,99,6.8,23.5,0,100,95.24,3,1,1,580m,580
57,T3 - 780m,89,2.74,23.5,0,0,95.24,5,13,16,780m,780
58,T3 - 780m,99,0.32,21.5,0,100,100,5,3,3,780m,780
59,T3 - 780m,87,0.03,23.2,0,100,71.42,5,3,3,780m,780
60,T3 - 780m,85,0.04,23.2,0,50,100,5,1,1,780m,780
61,T4 - 780m,88,0.69,23.4,6,100,100,5,8,9,780m,780
62,T4 - 780m,88,1.86,27.2,0.6,100,100,5,4,4,780m,780
63,T5 - 870m,80,51.6,28.7,2.5,0,100,3,5,5,870m,870
64,T6 - 1250m,71,7.17,26.1,1.9,0,100,3,9,11,1250m,1250
65,T6 - 1250m,74,7.5,26,0,100,100,3,1,1,1250m,1250
66,T6 - 1250m,54,10.85,28.3,1.45,35,100,3,4,4,1250m,1250
67,T7 - 1250m,72,17.85,26.9,1.6,90,100,2,2,3,1250m,1250
68,T7 - 1250m,66,6.27,26.2,0.8,100,71.42,2,1,1,1250m,1250
69,T8 - 1250m,77,19,23.9,0,100,76.19,3,4,13,1250m,1250
70,T8 - 1250m,99,29.59,24.9,0.65,99,95.24,3,4,7,1250m,1250
71,T8 - 1250m,74,1.52,19.83,0.85,100,95.24,3,2,2,1250m,1250
72,T9 - 1360m,99,27.94,22.3,1.2,100,95.24,1,5,15,1360m,1360
73,T9 - 1360m,80,6.81,19.03,1.8,100,100,1,2,4,1360m,1360
74,T10 - 1420m,95,0.4,17.1,0,0,100,6,10,33, 1420m,1420
75,T10 - 1420m,95,0.42,17.2,0,100,100,6,1,1, 1420m,1420
76,T10 - 1420m,95,0.41,17.1,0,100,95.24,6,8,11, 1420m,1420
77,T10 - 1420m,87,0.16,20.2,0,100,100,6,6,6, 1420m,1420
78,T1 - 480m,89,1.36,23.18,0,100,100,4,8,11,480m,480
79,T2 - 580m,94,7.68,26.7,0.75,100,100,3,6,8,580m,580
80,T2 - 580m,90,1.5,23.4,0,100,100,3,1,1,580m,580
81,T3 - 780m,91,1.15,24.4,0,100,95.24,5,8,8,780m,780
82,T3 - 780m,94,1.2,24.4,0,100,100,5,1,1,780m,780
83,T3 - 780m,85,1.3,24.4,0,100,100,5,8,8,780m,780
84,T4 - 780m,91,0.58,26.4,0,100,76.19,5,10,10,780m,780
85,T4 - 780m,91,0.81,23.28,0,100,100,5,5,5,780m,780
86,T5 - 870m,91,0.81,23.3,0,100,100,3,1,2,870m,870
87,T5 - 870m,99,85.6,28.5,1.2,100,95.24,3,1,1,870m,870
88,T5 - 870m,91,13.15,26.13,0,100,95.24,3,3,3,870m,870
89,T6 - 1250m,75,17.2,28,0,100,100,3,2,2,1250m,1250
90,T6 - 1250m,93,14.5,28.73,0,100,100,3,6,9,1250m,1250
91,T6 - 1250m,74,18,28,0,2,100,3,2,2,1250m,1250
92,T7 - 1250m,92,97.97,28.73,0.97,100,100,2,0,0,1250m,1250
93,T7 - 1250m,86.5,33.18,25.7,1.2,100,100,2,3,6,1250m,1250
94,T7 - 1250m,70,5.91,20.5,1.5,2,100,2,3,3,1250m,1250
95,T8 - 1250m,89,7.61,23.8,0.75,100,100,3,5,10,1250m,1250
96,T8 - 1250m,81,5.23,27.03,0,100,100,3,4,5,1250m,1250
97,T9 - 1360m,88,24.87,23.25,0.45,100,100,1,1,1,1360m,1360
98,T9 - 1360m,72,4.64,24.9,3.17,100,76.19,1,2,4,1360m,1360
99,T10 - 1420m,86,0.14,18.55,0,100,100,6,5,5, 1420m,1420
100,T10 - 1420m,87,0.15,15.2,0,100,100,6,3,3, 1420m,1420
101,T10 - 1420m,83,0.205,24.8,0,100,76.19,6,0,0, 1420m,1420
102,T1 - 480m,92,0.14,22.5,0,100,95.24,4,6,11,480m,480
103,T1 - 480m,92,0.14,22.5,0,60,100,4,1,2,480m,480
104,T2 - 580m,97,4.6,24.3,0,100,95.24,3,17,24,580m,580
105,T3 - 780m,99,24.2,26.1,0,60,100,5,1,1,780m,780
106,T3 - 780m,99,24.2,26.1,0,35,100,5,11,11,780m,780
107,T3 - 780m,84,0.17,24,0,100,52.38,5,2,2,780m,780
108,T4 - 780m,97,1.08,25.4,0,100,100,5,6,8,780m,780
109,T4 - 780m,97,1.08,25.4,0,65,100,5,9,9,780m,780
110,T4 - 780m,80,0.04,25.3,0,100,52.38,5,0,0,780m,780
111,T5 - 870m,87,9.8,34.5,0,90,100,3,4,4,870m,870
112,T5 - 870m,87,9.8,34.5,0,0,100,3,3,3,870m,870
113,T5 - 870m,80,1.5,26.9,0,100,47.62,3,3,4,870m,870
114,T6 - 1250m,81,36.6,31.4,0.8,96,100,3,7,7,1250m,1250
115,T6 - 1250m,79,13.35,29.2,0,100,100,3,2,2,1250m,1250
116,T7 - 1250m,92,15.6,23.5,0.7,2,100,2,1,1,1250m,1250
117,T7 - 1250m,79,7.6,25.4,0,100,100,2,2,5,1250m,1250
118,T8 - 1250m,89,1.1,22.3,0,2,100,3,7,10,1250m,1250
119,T8 - 1250m,89,1,22.2,0,100,100,3,4,4,1250m,1250
120,T8 - 1250m,72,0.75,25,0.9,100,100,3,2,3,1250m,1250
121,T9 - 1360m,60,44,32.6,0,85,100,1,2,4,1360m,1360
122,T9 - 1360m,79,39.2,31.4,0,100,100,1,0,0,1360m,1360
123,T10 - 1420m,76,1.53,25.4,0,100,76.19,6,4,5, 1420m,1420
124,T1 - 480m,81,1.6,26.5,0,30,100,4,12,18,480m,480
125,T2 - 580m,96,1.13,26.4,0,100,100,3,5,5,580m,580
126,T3 - 780m,99,0.28,23.5,0,100,100,5,7,10,780m,780
127,T4 - 780m,96,0.64,24.9,0,100,100,5,9,9,780m,780
128,T5 - 870m,98,2.28,23.7,0,100,100,3,4,4,870m,870
129,T6 - 1250m,99,7.235,24.6,1.4,100,100,3,10,16,1250m,1250
130,T7 - 1250m,78,17.85,26.8,0.7,100,100,2,3,3,1250m,1250
131,T8 - 1250m,92,44.68,23.2,0.6,0,100,3,8,9,1250m,1250
132,T8 - 1250m,84,0.5,25.9,0,100,100,3,4,4,1250m,1250
133,T10 - 1420m,83,1.13,25.5,0,100,100,6,9,19, 1420m,1420
